,embedder,dataset,val_AUROC,n_samples,balanced,val_R2,val_Spearman,task_type,category,short_name
0,ChemBertMTR-77M,AMES,0.8761239647865295,7278.0,0.0460291288815608,,,cls,Tox,AMES
1,ChemBertMTR-77M,BBB Martins,0.9207552701234818,2030.0,0.264039408866995,,,cls,Distribution,BBB
2,ChemBertMTR-77M,Bioavailability Ma,0.6211044609546661,640.0,0.26875,,,cls,Absorption,Bioavailability
3,ChemBertMTR-77M,CYP2C9 Substrate CarbonMangels,0.6770356982946396,669.0,0.289237668161435,,,cls,Metabolism,CYP2C9 (s)
4,ChemBertMTR-77M,CYP2C9 Veith,0.8916809409856796,12092.0,0.1654813099569963,,,cls,Metabolism,CYP2C9
5,ChemBertMTR-77M,Caco2 Wang,,910.0,0.777236234121794,0.6986537367105484,0.8153538048267365,reg,Absorption,Caco2
6,ChemBertMTR-77M,Carcinogens Lagunin,0.8623965173959732,280.0,0.2857142857142857,,,cls,Tox,Carcinogens
7,ChemBertMTR-77M,ClinTox,0.6762889206409455,1478.0,0.4242219215155616,,,cls,Tox,ClinTox
8,ChemBertMTR-77M,DILI,0.9023550748825073,475.0,0.003157894736842,,,cls,Tox,DILI
9,ChemBertMTR-77M,HIA Hou,0.9077498376369476,578.0,0.3650519031141869,,,cls,Absorption,HIA
10,ChemBertMTR-77M,HydrationFreeEnergy FreeSolv,,642.0,3.847820117108812,0.809691745042801,0.9468627512454987,reg,Absorption,FreeSolv
11,ChemBertMTR-77M,LD50 Zhu,,7385.0,0.9586673133506076,0.5158252656459809,0.687980443239212,reg,Tox,LD50
12,ChemBertMTR-77M,Lipophilicity (az),,4200.0,1.203003713387104,0.6690450936555863,0.827386599779129,reg,Absorption,Lipophilicity
13,ChemBertMTR-77M,PAMPA NCATS,0.7392162680625916,2034.0,0.3549655850540806,,,cls,Absorption,PAMPA
14,ChemBertMTR-77M,PPBR AZ,,1614.0,16.738219911447835,0.28289929032325745,0.6213455468416214,reg,Distribution,PPBR
15,ChemBertMTR-77M,Pgp Broccatelli,0.9437476605176925,1218.0,0.0336617405582923,,,cls,Absorption,Pgp
16,ChemBertMTR-77M,Skin  Reaction,0.7827592134475708,404.0,0.1782178217821782,,,cls,Tox,Skin Reaction
17,ChemBertMTR-77M,Solubility AqSolDB,,9982.0,2.368154448407012,0.8278861612081527,0.9077817320823669,reg,Absorption,Solubility
18,ChemBertMTR-77M,VDss Lombardo,,1130.0,22.35257743108947,0.2969617813825607,0.5999792993068696,reg,Distribution,VDss
19,ChemBertMTR-77M,hERG,0.8571388810873032,655.0,0.1885496183206106,,,cls,Tox,hERG
20,ChemBertMTR-77M,hERG (k),0.8830157935619354,13445.0,0.0003346969133506,,,cls,Tox,hERG (k)
21,GraphMVP,AMES,0.8474557340145111,7278.0,0.0460291288815608,,,cls,Tox,AMES
22,GraphMVP,BBB Martins,0.8807796508073806,2030.0,0.264039408866995,,,cls,Distribution,BBB
23,GraphMVP,Bioavailability Ma,0.6102193057537079,640.0,0.26875,,,cls,Absorption,Bioavailability
24,GraphMVP,CYP2C9 Substrate CarbonMangels,0.6171351373195648,669.0,0.289237668161435,,,cls,Metabolism,CYP2C9 (s)
25,GraphMVP,CYP2C9 Veith,0.8561679601669312,12092.0,0.1654813099569963,,,cls,Metabolism,CYP2C9
26,GraphMVP,Caco2 Wang,,910.0,0.777236234121794,0.5090788096189499,0.6890977948904038,reg,Absorption,Caco2
27,GraphMVP,Carcinogens Lagunin,0.8206100165843964,280.0,0.2857142857142857,,,cls,Tox,Carcinogens
28,GraphMVP,ClinTox,0.5987671703100205,1478.0,0.4242219215155616,,,cls,Tox,ClinTox
29,GraphMVP,DILI,0.8939516037702561,475.0,0.003157894736842,,,cls,Tox,DILI
30,GraphMVP,HIA Hou,0.8854416161775589,578.0,0.3650519031141869,,,cls,Absorption,HIA
31,GraphMVP,HydrationFreeEnergy FreeSolv,,642.0,3.847820117108812,0.7157985955476761,0.9238460779190063,reg,Absorption,FreeSolv
32,GraphMVP,LD50 Zhu,,7385.0,0.9586673133506076,0.48814033567905424,0.6811880171298981,reg,Tox,LD50
33,GraphMVP,Lipophilicity (az),,4200.0,1.203003713387104,0.4921527117490768,0.736805009841919,reg,Absorption,Lipophilicity
34,GraphMVP,PAMPA NCATS,0.6756547391414642,2034.0,0.3549655850540806,,,cls,Absorption,PAMPA
35,GraphMVP,PPBR AZ,,1614.0,16.738219911447835,0.20101185441017147,0.5322883725166321,reg,Distribution,PPBR
36,GraphMVP,Pgp Broccatelli,0.878601685166359,1218.0,0.0336617405582923,,,cls,Absorption,Pgp
37,GraphMVP,Skin  Reaction,0.731374415755272,404.0,0.1782178217821782,,,cls,Tox,Skin Reaction
38,GraphMVP,Solubility AqSolDB,,9982.0,2.368154448407012,0.7350175648927688,0.852206802368164,reg,Absorption,Solubility
39,GraphMVP,VDss Lombardo,,1130.0,22.35257743108947,0.13632459044456477,0.5784954249858856,reg,Distribution,VDss
40,GraphMVP,hERG,0.7599497884511948,655.0,0.1885496183206106,,,cls,Tox,hERG
41,GraphMVP,hERG (k),0.8538890033960342,13445.0,0.0003346969133506,,,cls,Tox,hERG (k)
42,MolR tag,AMES,0.8631323933601379,7278.0,0.0460291288815608,,,cls,Tox,AMES
43,MolR tag,BBB Martins,0.8795169144868851,2030.0,0.264039408866995,,,cls,Distribution,BBB
44,MolR tag,Bioavailability Ma,0.6501096308231353,640.0,0.26875,,,cls,Absorption,Bioavailability
45,MolR tag,CYP2C9 Substrate CarbonMangels,0.6334834039211273,669.0,0.289237668161435,,,cls,Metabolism,CYP2C9 (s)
46,MolR tag,CYP2C9 Veith,0.8853606224060059,12092.0,0.1654813099569963,,,cls,Metabolism,CYP2C9
47,MolR tag,Caco2 Wang,,910.0,0.777236234121794,0.6011819094419479,0.7343741238117218,reg,Absorption,Caco2
48,MolR tag,Carcinogens Lagunin,0.7902396410703659,280.0,0.2857142857142857,,,cls,Tox,Carcinogens
49,MolR tag,ClinTox,0.7849587887525559,1478.0,0.4242219215155616,,,cls,Tox,ClinTox
50,MolR tag,DILI,0.8772498786449432,475.0,0.003157894736842,,,cls,Tox,DILI
51,MolR tag,HIA Hou,0.8728360444307327,578.0,0.3650519031141869,,,cls,Absorption,HIA
52,MolR tag,HydrationFreeEnergy FreeSolv,,642.0,3.847820117108812,0.6668717503547669,0.8805779606103897,reg,Absorption,FreeSolv
53,MolR tag,LD50 Zhu,,7385.0,0.9586673133506076,0.5223951727151871,0.697327297925949,reg,Tox,LD50
54,MolR tag,Lipophilicity (az),,4200.0,1.203003713387104,0.4920858651399612,0.7037362337112427,reg,Absorption,Lipophilicity
55,MolR tag,PAMPA NCATS,0.7018552124500275,2034.0,0.3549655850540806,,,cls,Absorption,PAMPA
56,MolR tag,PPBR AZ,,1614.0,16.738219911447835,0.2708580613136291,0.6076539576053619,reg,Distribution,PPBR
57,MolR tag,Pgp Broccatelli,0.9354956984519959,1218.0,0.0336617405582923,,,cls,Absorption,Pgp
58,MolR tag,Skin  Reaction,0.6935779839754105,404.0,0.1782178217821782,,,cls,Tox,Skin Reaction
59,MolR tag,Solubility AqSolDB,,9982.0,2.368154448407012,0.7843078315258026,0.8855348646640777,reg,Absorption,Solubility
60,MolR tag,VDss Lombardo,,1130.0,22.35257743108947,0.2852417200803756,0.5520134389400482,reg,Distribution,VDss
61,MolR tag,hERG,0.7852863222360611,655.0,0.1885496183206106,,,cls,Tox,hERG
62,MolR tag,hERG (k),0.8663507908582687,13445.0,0.0003346969133506,,,cls,Tox,hERG (k)
63,ThreeDInfomax,AMES,0.8610844999551773,7278.0,0.0460291288815608,,,cls,Tox,AMES
64,ThreeDInfomax,BBB Martins,0.9031594842672348,2030.0,0.264039408866995,,,cls,Distribution,BBB
65,ThreeDInfomax,Bioavailability Ma,0.6083951354026794,640.0,0.26875,,,cls,Absorption,Bioavailability
66,ThreeDInfomax,CYP2C9 Substrate CarbonMangels,0.6636353015899659,669.0,0.289237668161435,,,cls,Metabolism,CYP2C9 (s)
67,ThreeDInfomax,CYP2C9 Veith,0.8750619798898697,12092.0,0.1654813099569963,,,cls,Metabolism,CYP2C9
68,ThreeDInfomax,Caco2 Wang,,910.0,0.777236234121794,0.626314640045166,0.7614401280879974,reg,Absorption,Caco2
69,ThreeDInfomax,Carcinogens Lagunin,0.860675373673439,280.0,0.2857142857142857,,,cls,Tox,Carcinogens
70,ThreeDInfomax,ClinTox,0.7690132796764374,1478.0,0.4242219215155616,,,cls,Tox,ClinTox
